No.,time,VOL1(mV),VOL2(mV),VOL3(mV),VOL4(mV),VOL5(mV),VOL6(mV),VOL7(mV),VOL8(mV),VOL9(mV),VOL10(mV),VOL11(mV),VOL12(mV),Current(mA),Temperature,Temp_in,Temp_ex1,Temp_ex2,Balance,Status
17790,2022-08-31 00:23:27,4197,4188,4199,4194,0,0,0,0,0,0,0,0,0,1,100,47,48,,OFF,
17791,2022-08-31 00:53:27,4197,4188,4198,4194,0,0,0,0,0,0,0,0,0,1,100,47,48,,OFF,
17792,2022-08-31 01:23:27,4196,4188,4198,4194,0,0,0,0,0,0,0,0,0,1,100,48,48,,OFF,
17793,2022-08-31 01:33:43,4195,4186,4196,4192,0,0,0,0,0,0,0,0,0,1,100,51,52,,ON,
17794,2022-08-31 01:34:52,4192,4183,4193,4189,0,0,0,0,0,0,0,0,0,1,100,33,30,,Idle,
17795,2022-08-31 01:36:01,4186,4178,4188,4183,0,0,0,0,0,0,0,0,-1000,1,99,34,30,,Idle,
17796,2022-08-31 02:06:16,4192,4184,4194,4190,0,0,0,0,0,0,0,0,0,1,99,50,49,,OFF,
17797,2022-08-31 02:36:16,4192,4184,4194,4189,0,0,0,0,0,0,0,0,0,1,99,51,49,,OFF,
17798,2022-08-31 03:06:16,4191,4183,4193,4189,0,0,0,0,0,0,0,0,0,1,99,51,49,,OFF,
17799,2022-08-31 03:36:16,4191,4183,4192,4188,0,0,0,0,0,0,0,0,0,1,99,52,49,,OFF,
17800,2022-08-31 04:06:04,4204,4196,4206,4200,0,0,0,0,0,0,0,0,2100,1,99,42,30,,ON,
17801,2022-08-31 04:07:14,4216,4208,4218,4212,0,0,0,0,0,0,0,0,1300,1,100,41,30,,Change,
17802,2022-08-31 04:10:12,4200,4191,4202,4197,0,0,0,0,0,0,0,0,0,1,100,52,49,,ON,
17803,2022-08-31 04:11:21,4197,4189,4199,4194,0,0,0,0,0,0,0,0,0,1,100,40,30,,Idle,
17804,2022-08-31 04:12:30,4195,4187,4197,4192,0,0,0,0,0,0,0,0,0,1,100,40,30,,Idle,
17805,2022-08-31 04:13:39,4194,4185,4196,4191,0,0,0,0,0,0,0,0,0,1,100,40,30,,Idle,
17806,2022-08-31 04:14:47,4192,4183,4194,4189,0,0,0,0,0,0,0,0,0,1,100,40,30,,Idle,
17807,2022-08-31 04:15:56,4190,4182,4192,4188,0,0,0,0,0,0,0,0,0,1,100,40,30,,Idle,
17808,2022-08-31 04:17:05,4189,4181,4191,4186,0,0,0,0,0,0,0,0,0,1,100,41,30,,Idle,
17809,2022-08-31 04:18:14,4187,4180,4189,4185,0,0,0,0,0,0,0,0,0,1,100,41,30,,Idle,
17810,2022-08-31 04:19:23,4186,4178,4188,4183,0,0,0,0,0,0,0,0,0,1,100,41,30,,Idle,
17811,2022-08-31 04:20:32,4185,4177,4187,4182,0,0,0,0,0,0,0,0,0,1,100,41,30,,Idle,
17812,2022-08-31 04:21:41,4183,4176,4185,4181,0,0,0,0,0,0,0,0,0,1,100,41,30,,Idle,
17813,2022-08-31 04:22:50,4182,4175,4184,4180,0,0,0,0,0,0,0,0,0,1,100,42,30,,Idle,
17814,2022-08-31 04:23:59,4181,4173,4183,4178,0,0,0,0,0,0,0,0,0,1,100,42,30,,Idle,
17815,2022-08-31 04:25:08,4179,4172,4181,4177,0,0,0,0,0,0,0,0,0,1,100,42,30,,Idle,
17816,2022-08-31 04:26:17,4178,4171,4180,4176,0,0,0,0,0,0,0,0,0,1,100,42,30,,Idle,
17817,2022-08-31 04:27:26,4177,4170,4179,4174,0,0,0,0,0,0,0,0,0,1,100,43,30,,Idle,
17818,2022-08-31 04:28:35,4175,4168,4177,4173,0,0,0,0,0,0,0,0,0,1,100,43,30,,Idle,
17819,2022-08-31 04:29:43,4174,4167,4176,4172,0,0,0,0,0,0,0,0,0,1,100,43,30,,Idle,
17820,2022-08-31 04:30:52,4173,4166,4175,4171,0,0,0,0,0,0,0,0,0,1,100,43,30,,Idle,
17821,2022-08-31 04:32:01,4172,4165,4174,4170,0,0,0,0,0,0,0,0,0,1,100,43,30,,Idle,
17822,2022-08-31 04:33:10,4171,4164,4173,4169,0,0,0,0,0,0,0,0,0,1,100,44,30,,Idle,
17823,2022-08-31 04:34:19,4170,4163,4171,4167,0,0,0,0,0,0,0,0,0,1,100,44,30,,Idle,
17824,2022-08-31 04:35:28,4169,4162,4170,4167,0,0,0,0,0,0,0,0,0,1,100,44,30,,Idle,
17825,2022-08-31 04:36:37,4168,4161,4169,4165,0,0,0,0,0,0,0,0,0,1,100,44,30,,Idle,
17826,2022-08-31 04:37:46,4166,4160,4168,4164,0,0,0,0,0,0,0,0,0,1,100,45,30,,Idle,
17827,2022-08-31 04:38:55,4165,4159,4167,4163,0,0,0,0,0,0,0,0,0,1,100,45,30,,Idle,
17828,2022-08-31 04:40:04,4165,4158,4166,4162,0,0,0,0,0,0,0,0,0,1,100,45,30,,Idle,
17829,2022-08-31 04:41:13,4163,4157,4165,4161,0,0,0,0,0,0,0,0,0,1,100,45,30,,Idle,
17830,2022-08-31 04:42:22,4162,4156,4164,4160,0,0,0,0,0,0,0,0,0,1,100,45,30,,Idle,
17831,2022-08-31 04:43:31,4161,4155,4162,4159,0,0,0,0,0,0,0,0,0,1,100,45,30,,Idle,
17832,2022-08-31 04:44:40,4158,4152,4159,4156,0,0,0,0,0,0,0,0,0,1,100,46,30,,Idle,
17833,2022-08-31 04:45:48,4159,4153,4160,4157,0,0,0,0,0,0,0,0,0,1,99,46,30,,Idle,
17834,2022-08-31 04:46:57,4158,4152,4159,4156,0,0,0,0,0,0,0,0,0,1,99,46,30,,Idle,
17835,2022-08-31 04:48:07,4009,4005,4010,4010,0,0,0,0,0,0,0,0,-16800,1,98,46,30,,Dischange,
17836,2022-08-31 04:48:41,3974,3966,3965,3969,0,0,0,0,0,0,0,0,-17600,1,97,46,30,,Dischange,
17837,2022-08-31 04:49:15,4084,4082,4084,4083,0,0,0,0,0,0,0,0,0,1,95,46,30,,Idle,
17838,2022-08-31 04:50:24,4085,4084,4085,4084,0,0,0,0,0,0,0,0,0,1,94,47,30,,Idle,
17839,2022-08-31 04:51:33,4080,4079,4080,4079,0,0,0,0,0,0,0,0,0,1,93,47,30,,Idle,
17840,2022-08-31 04:52:42,3922,3925,3919,3922,0,0,0,0,0,0,0,0,-17400,1,89,48,30,,Dischange,
17841,2022-08-31 04:53:17,4041,4040,4041,4040,0,0,0,0,0,0,0,0,0,1,88,48,30,,Idle,
17842,2022-08-31 04:54:26,4063,4063,4064,4062,0,0,0,0,0,0,0,0,0,1,88,48,30,,Idle,
17843,2022-08-31 04:55:35,3908,3909,3908,3911,0,0,0,0,0,0,0,0,-17200,1,85,48,30,,Dischange,
17844,2022-08-31 04:56:09,4003,4001,4002,4001,0,0,0,0,0,0,0,0,0,1,84,48,30,,Idle,
17845,2022-08-31 04:57:18,3994,3992,3994,3993,0,0,0,0,0,0,0,0,0,1,82,49,30,,Idle,
17846,2022-08-31 04:58:27,3979,3977,3979,3978,0,0,0,0,0,0,0,0,0,1,80,49,30,,Idle,
17847,2022-08-31 04:59:36,3855,3851,3849,3853,0,0,0,0,0,0,0,0,-16700,1,78,49,30,,Dischange,
17848,2022-08-31 05:00:10,3934,3932,3933,3932,0,0,0,0,0,0,0,0,0,1,77,49,30,,Idle,
17849,2022-08-31 05:01:19,3952,3950,3951,3950,0,0,0,0,0,0,0,0,0,1,77,49,30,,Idle,
17850,2022-08-31 05:13:06,3975,3974,3975,3974,0,0,0,0,0,0,0,0,0,1,77,58,49,,ON,
17851,2022-08-31 05:14:16,3975,3974,3975,3975,0,0,0,0,0,0,0,0,0,1,77,47,30,,Idle,
17852,2022-08-31 05:15:26,3975,3974,3975,3975,0,0,0,0,0,0,0,0,0,1,77,46,30,,Idle,
17853,2022-08-31 05:16:36,3976,3974,3975,3975,0,0,0,0,0,0,0,0,0,1,77,46,30,,Idle,
17854,2022-08-31 05:17:46,3976,3974,3975,3975,0,0,0,0,0,0,0,0,0,1,77,46,30,,Idle,
17855,2022-08-31 05:18:56,3976,3974,3975,3975,0,0,0,0,0,0,0,0,0,1,77,46,30,,Idle,
17856,2022-08-31 05:20:07,3976,3974,3975,3975,0,0,11776,7844,2048,0,0,6144,0,1,77,46,30,,Idle,
