No.,time,VOL1(mV),VOL2(mV),VOL3(mV),VOL4(mV),VOL5(mV),VOL6(mV),VOL7(mV),VOL8(mV),VOL9(mV),VOL10(mV),VOL11(mV),VOL12(mV),Current(mA),Temperature,Temp_in,Temp_ex1,Temp_ex2,Balance,Status
17701,2022-08-30 00:05:45,4108,4106,4109,4107,0,0,0,0,0,0,0,0,0,1,98,46,48,,OFF,
17702,2022-08-30 00:35:45,4108,4106,4109,4107,0,0,0,0,0,0,0,0,0,1,98,45,48,,OFF,
17703,2022-08-30 01:05:45,4108,4106,4109,4107,0,0,0,0,0,0,0,0,0,1,98,46,48,,OFF,
17704,2022-08-30 01:35:45,4108,4106,4109,4107,0,0,0,0,0,0,0,0,0,1,98,46,48,,OFF,
17705,2022-08-30 02:05:45,4108,4106,4109,4107,0,0,0,0,0,0,0,0,0,1,98,46,48,,OFF,
17706,2022-08-30 02:35:45,4108,4106,4109,4107,0,0,0,0,0,0,0,0,0,1,98,46,48,,OFF,
17707,2022-08-30 03:05:45,4108,4106,4109,4107,0,0,0,0,0,0,0,0,0,1,98,46,48,,OFF,
17708,2022-08-30 03:35:45,4108,4106,4109,4107,0,0,0,0,0,0,0,0,0,1,98,46,48,,OFF,
17709,2022-08-30 04:05:45,4108,4106,4109,4107,0,0,0,0,0,0,0,0,0,1,98,46,48,,OFF,
17710,2022-08-30 04:35:45,4108,4106,4108,4107,0,0,0,0,0,0,0,0,0,1,98,46,48,,OFF,
17711,2022-08-30 05:03:21,4106,4104,4107,4105,0,0,0,0,0,0,0,0,0,1,98,49,51,,ON,
17712,2022-08-30 05:04:30,4103,4102,4104,4103,0,0,0,0,0,0,0,0,0,1,98,27,30,,Idle,
17713,2022-08-30 05:05:39,4103,4102,4104,4102,0,0,0,0,0,0,0,0,0,1,98,27,30,,Idle,
17714,2022-08-30 05:06:48,4102,4101,4103,4102,0,0,0,0,0,0,0,0,0,1,98,27,30,,Idle,
17715,2022-08-30 05:07:57,4102,4101,4103,4101,0,0,0,0,0,0,0,0,0,1,98,27,30,,Idle,
17716,2022-08-30 05:09:06,4101,4100,4102,4101,0,0,0,0,0,0,0,0,0,1,98,27,30,,Idle,
17717,2022-08-30 05:10:15,4101,4100,4102,4101,0,0,0,0,0,0,0,0,0,1,98,27,30,,Idle,
17718,2022-08-30 05:11:24,4100,4099,4101,4100,0,0,0,0,0,0,0,0,0,1,98,27,30,,Idle,
17719,2022-08-30 05:12:33,4100,4099,4101,4099,0,0,0,0,0,0,0,0,0,1,98,27,30,,Idle,
17720,2022-08-30 05:13:42,4100,4098,4100,4099,0,0,0,0,0,0,0,0,0,1,98,28,30,,Idle,
17721,2022-08-30 05:14:51,4098,4098,4100,4099,0,0,0,0,0,0,0,0,0,1,98,28,30,,Idle,
17722,2022-08-30 05:15:59,4098,4097,4099,4098,0,0,0,0,0,0,0,0,0,1,98,28,30,,Idle,
17723,2022-08-30 05:17:08,4098,4097,4099,4098,0,0,0,0,0,0,0,0,0,1,98,28,30,,Idle,
17724,2022-08-30 05:48:07,4102,4101,4103,4102,0,0,0,0,0,0,0,0,0,1,98,46,48,,OFF,
17725,2022-08-30 06:18:07,4102,4101,4103,4102,0,0,0,0,0,0,0,0,0,1,98,46,48,,OFF,
17726,2022-08-30 06:48:07,4102,4101,4103,4102,0,0,0,0,0,0,0,0,0,1,98,45,48,,OFF,
17727,2022-08-30 07:18:07,4102,4101,4103,4102,0,0,0,0,0,0,0,0,0,1,98,45,48,,OFF,
17728,2022-08-30 07:48:07,4102,4101,4103,4102,0,0,0,0,0,0,0,0,0,1,98,45,48,,OFF,
17729,2022-08-30 08:18:07,4102,4101,4103,4102,0,0,0,0,0,0,0,0,0,1,98,45,48,,OFF,
17730,2022-08-30 08:48:07,4102,4101,4103,4102,0,0,0,0,0,0,0,0,0,1,98,45,48,,OFF,
17731,2022-08-30 09:18:07,4102,4101,4103,4102,0,0,0,0,0,0,0,0,0,1,98,45,48,,OFF,
17732,2022-08-30 09:48:07,4102,4101,4103,4102,0,0,0,0,0,0,0,0,0,1,98,45,48,,OFF,
17733,2022-08-30 10:18:07,4102,4101,4103,4102,0,0,0,0,0,0,0,0,0,1,98,45,48,,OFF,
17734,2022-08-30 10:48:07,4102,4101,4103,4102,0,0,0,0,0,0,0,0,0,1,98,45,48,,OFF,
17735,2022-08-30 11:18:07,4102,4101,4103,4102,0,0,0,0,0,0,0,0,0,1,98,45,48,,OFF,
17736,2022-08-30 12:11:15,4102,4101,4103,4102,0,0,0,0,0,0,0,0,0,1,98,45,48,,OFF,
17737,2022-08-30 12:41:15,4102,4101,4103,4101,0,0,0,0,0,0,0,0,0,1,98,45,48,,OFF,
17738,2022-08-30 13:11:15,4102,4101,4103,4102,0,0,0,0,0,0,0,0,0,1,98,45,48,,OFF,
17739,2022-08-30 13:41:15,4102,4101,4103,4101,0,0,0,0,0,0,0,0,0,1,98,45,48,,OFF,
17740,2022-08-30 14:11:15,4102,4101,4103,4101,0,0,0,0,0,0,0,0,0,1,98,45,48,,OFF,
17741,2022-08-30 14:41:15,4102,4101,4103,4102,0,0,0,0,0,0,0,0,0,1,98,45,48,,OFF,
17742,2022-08-30 15:11:15,4102,4100,4103,4101,0,0,0,0,0,0,0,0,0,1,98,45,48,,OFF,
17743,2022-08-30 15:41:15,4102,4101,4103,4101,0,0,0,0,0,0,0,0,0,1,98,45,48,,OFF,
17744,2022-08-30 16:11:15,4102,4101,4102,4101,0,0,0,0,0,0,0,0,0,1,98,45,48,,OFF,
17745,2022-08-30 16:41:15,4102,4100,4102,4101,0,0,0,0,0,0,0,0,0,1,98,44,48,,OFF,
17746,2022-08-30 17:11:15,4102,4100,4102,4101,0,0,0,0,0,0,0,0,0,1,98,44,48,,OFF,
17747,2022-08-30 17:41:15,4102,4100,4102,4101,0,0,0,0,0,0,0,0,0,1,98,44,48,,OFF,
17748,2022-08-30 18:11:15,4101,4100,4102,4101,0,0,0,0,0,0,0,0,0,1,98,44,48,,OFF,
17749,2022-08-30 18:41:15,4101,4100,4102,4101,0,0,0,0,0,0,0,0,0,1,98,44,48,,OFF,
17750,2022-08-30 19:11:15,4101,4100,4102,4101,0,0,0,0,0,0,0,0,0,1,98,44,48,,OFF,
17751,2022-08-30 19:33:03,4144,4143,4145,4142,0,0,0,0,0,0,0,0,4900,1,98,44,47,,ON,
17752,2022-08-30 19:34:14,4168,4167,4169,4166,0,0,0,0,0,0,0,0,3900,1,98,25,30,,Change,
17753,2022-08-30 19:34:49,4172,4170,4172,4169,0,0,0,0,0,0,0,0,3700,1,99,25,30,,Change,
17754,2022-08-30 19:35:24,4175,4173,4176,4173,0,0,0,0,0,0,0,0,3500,1,99,25,30,,Change,
17755,2022-08-30 19:35:59,4178,4176,4179,4176,0,0,0,0,0,0,0,0,3300,1,100,25,30,,Change,
