No.,time,VOL1(mV),VOL2(mV),VOL3(mV),VOL4(mV),VOL5(mV),VOL6(mV),VOL7(mV),VOL8(mV),VOL9(mV),VOL10(mV),VOL11(mV),VOL12(mV),Current(mA),Temperature,Temp_in,Temp_ex1,Temp_ex2,Balance,Status
17653,2022-08-29 00:05:45,4110,4108,4111,4109,0,0,0,0,0,0,0,0,0,1,98,46,48,,OFF,
17654,2022-08-29 00:35:45,4110,4108,4111,4109,0,0,0,0,0,0,0,0,0,1,98,46,48,,OFF,
17655,2022-08-29 01:05:45,4110,4108,4111,4109,0,0,0,0,0,0,0,0,0,1,98,46,48,,OFF,
17656,2022-08-29 01:35:45,4110,4108,4111,4109,0,0,0,0,0,0,0,0,0,1,98,46,48,,OFF,
17657,2022-08-29 02:05:45,4110,4108,4111,4109,0,0,0,0,0,0,0,0,0,1,98,46,48,,OFF,
17658,2022-08-29 02:35:45,4110,4108,4111,4109,0,0,0,0,0,0,0,0,0,1,98,46,48,,OFF,
17659,2022-08-29 03:05:45,4110,4108,4111,4109,0,0,0,0,0,0,0,0,0,1,98,46,48,,OFF,
17660,2022-08-29 03:35:45,4110,4108,4111,4109,0,0,0,0,0,0,0,0,0,1,98,46,48,,OFF,
17661,2022-08-29 04:05:45,4110,4108,4111,4109,0,0,0,0,0,0,0,0,0,1,98,47,48,,OFF,
17662,2022-08-29 04:35:45,4110,4108,4111,4109,0,0,0,0,0,0,0,0,0,1,98,47,48,,OFF,
17663,2022-08-29 05:05:45,4110,4108,4111,4109,0,0,0,0,0,0,0,0,0,1,98,47,48,,OFF,
17664,2022-08-29 05:35:45,4110,4108,4111,4109,0,0,0,0,0,0,0,0,0,1,98,47,48,,OFF,
17665,2022-08-29 06:05:45,4110,4108,4111,4109,0,0,0,0,0,0,0,0,0,1,98,47,48,,OFF,
17666,2022-08-29 06:35:45,4110,4108,4110,4109,0,0,0,0,0,0,0,0,0,1,98,47,48,,OFF,
17667,2022-08-29 07:05:45,4110,4108,4110,4109,0,0,0,0,0,0,0,0,0,1,98,47,48,,OFF,
17668,2022-08-29 07:35:45,4109,4108,4110,4109,0,0,0,0,0,0,0,0,0,1,98,47,48,,OFF,
17669,2022-08-29 08:05:45,4109,4108,4110,4109,0,0,0,0,0,0,0,0,0,1,98,47,48,,OFF,
17670,2022-08-29 08:35:45,4109,4108,4110,4109,0,0,0,0,0,0,0,0,0,1,98,47,48,,OFF,
17671,2022-08-29 09:05:45,4109,4108,4110,4109,0,0,0,0,0,0,0,0,0,1,98,47,48,,OFF,
17672,2022-08-29 09:35:45,4109,4108,4110,4109,0,0,0,0,0,0,0,0,0,1,98,47,48,,OFF,
17673,2022-08-29 10:05:45,4109,4108,4110,4109,0,0,0,0,0,0,0,0,0,1,98,47,48,,OFF,
17674,2022-08-29 10:35:45,4109,4108,4110,4109,0,0,0,0,0,0,0,0,0,1,98,47,48,,OFF,
17675,2022-08-29 11:05:45,4109,4108,4110,4109,0,0,0,0,0,0,0,0,0,1,98,47,48,,OFF,
17676,2022-08-29 11:35:45,4109,4107,4110,4109,0,0,0,0,0,0,0,0,0,1,98,47,48,,OFF,
17677,2022-08-29 12:05:45,4109,4107,4110,4109,0,0,0,0,0,0,0,0,0,1,98,47,48,,OFF,
17678,2022-08-29 12:35:45,4109,4107,4110,4108,0,0,0,0,0,0,0,0,0,1,98,47,48,,OFF,
17679,2022-08-29 13:05:45,4109,4107,4110,4108,0,0,0,0,0,0,0,0,0,1,98,47,48,,OFF,
17680,2022-08-29 13:35:45,4109,4107,4110,4108,0,0,0,0,0,0,0,0,0,1,98,47,48,,OFF,
17681,2022-08-29 14:05:45,4109,4107,4110,4108,0,0,0,0,0,0,0,0,0,1,98,46,48,,OFF,
17682,2022-08-29 14:35:45,4109,4107,4110,4108,0,0,0,0,0,0,0,0,0,1,98,46,48,,OFF,
17683,2022-08-29 15:05:45,4109,4107,4110,4108,0,0,0,0,0,0,0,0,0,1,98,46,48,,OFF,
17684,2022-08-29 15:35:45,4109,4107,4109,4108,0,0,0,0,0,0,0,0,0,1,98,46,48,,OFF,
17685,2022-08-29 16:05:45,4109,4107,4109,4108,0,0,0,0,0,0,0,0,0,1,98,46,48,,OFF,
17686,2022-08-29 16:35:45,4109,4107,4109,4108,0,0,0,0,0,0,0,0,0,1,98,46,48,,OFF,
17687,2022-08-29 17:05:45,4109,4107,4109,4108,0,0,0,0,0,0,0,0,0,1,98,46,48,,OFF,
17688,2022-08-29 17:35:45,4108,4107,4109,4108,0,0,0,0,0,0,0,0,0,1,98,46,48,,OFF,
17689,2022-08-29 18:05:45,4109,4107,4109,4108,0,0,0,0,0,0,0,0,0,1,98,46,48,,OFF,
17690,2022-08-29 18:35:45,4108,4107,4109,4108,0,0,0,0,0,0,0,0,0,1,98,46,48,,OFF,
17691,2022-08-29 19:05:45,4108,4107,4109,4108,0,0,0,0,0,0,0,0,0,1,98,46,48,,OFF,
