No.,time,VOL1(mV),VOL2(mV),VOL3(mV),VOL4(mV),VOL5(mV),VOL6(mV),VOL7(mV),VOL8(mV),VOL9(mV),VOL10(mV),VOL11(mV),VOL12(mV),Current(mA),Temperature,Temp_in,Temp_ex1,Temp_ex2,Balance,Status
20973,2022-08-29 00:08:22,4193,4203,4204,4187,0,0,0,0,0,0,0,0,0,1,100,43,46,,OFF,
20974,2022-08-29 00:38:22,4193,4203,4204,4187,0,0,0,0,0,0,0,0,0,1,100,43,46,,OFF,
20975,2022-08-29 01:08:22,4193,4202,4203,4187,0,0,0,0,0,0,0,0,0,1,100,43,46,,OFF,
20976,2022-08-29 01:38:22,4193,4202,4203,4186,0,0,0,0,0,0,0,0,0,1,100,43,46,,OFF,
20977,2022-08-29 02:08:22,4192,4202,4203,4186,0,0,0,0,0,0,0,0,0,1,100,43,46,,OFF,
20978,2022-08-29 02:38:22,4192,4202,4203,4186,0,0,0,0,0,0,0,0,0,1,100,43,46,,OFF,
20979,2022-08-29 03:08:22,4192,4202,4203,4186,0,0,0,0,0,0,0,0,0,1,100,43,46,,OFF,
20980,2022-08-29 03:38:22,4192,4201,4202,4185,0,0,0,0,0,0,0,0,0,1,100,43,46,,OFF,
20981,2022-08-29 04:08:22,4192,4201,4202,4185,0,0,0,0,0,0,0,0,0,1,100,43,46,,OFF,
20982,2022-08-29 04:38:22,4191,4201,4202,4185,0,0,0,0,0,0,0,0,0,1,100,43,46,,OFF,
20983,2022-08-29 05:08:22,4191,4201,4202,4185,0,0,0,0,0,0,0,0,0,1,100,43,46,,OFF,
20984,2022-08-29 05:38:22,4191,4201,4202,4185,0,0,0,0,0,0,0,0,0,1,100,43,46,,OFF,
20985,2022-08-29 06:08:22,4191,4200,4201,4185,0,0,0,0,0,0,0,0,0,1,100,43,46,,OFF,
20986,2022-08-29 06:38:22,4191,4200,4201,4184,0,0,0,0,0,0,0,0,0,1,100,43,46,,OFF,
20987,2022-08-29 07:08:22,4190,4200,4201,4184,0,0,0,0,0,0,0,0,0,1,100,43,46,,OFF,
20988,2022-08-29 07:38:22,4190,4200,4201,4184,0,0,0,0,0,0,0,0,0,1,100,43,46,,OFF,
20989,2022-08-29 08:08:22,4190,4200,4201,4184,0,0,0,0,0,0,0,0,0,1,100,43,46,,OFF,
20990,2022-08-29 08:38:22,4190,4200,4201,4184,0,0,0,0,0,0,0,0,0,1,100,43,46,,OFF,
20991,2022-08-29 09:08:22,4190,4199,4200,4184,0,0,0,0,0,0,0,0,0,1,100,43,46,,OFF,
20992,2022-08-29 09:38:22,4190,4199,4200,4183,0,0,0,0,0,0,0,0,0,1,100,43,46,,OFF,
20993,2022-08-29 10:08:22,4190,4199,4200,4183,0,0,0,0,0,0,0,0,0,1,100,43,46,,OFF,
20994,2022-08-29 10:38:22,4189,4199,4200,4183,0,0,0,0,0,0,0,0,0,1,100,43,46,,OFF,
20995,2022-08-29 11:08:22,4189,4199,4200,4183,0,0,0,0,0,0,0,0,0,1,100,43,46,,OFF,
20996,2022-08-29 11:38:22,4189,4198,4200,4183,0,0,0,0,0,0,0,0,0,1,100,43,46,,OFF,
20997,2022-08-29 12:08:22,4189,4198,4199,4183,0,0,0,0,0,0,0,0,0,1,100,43,46,,OFF,
20998,2022-08-29 12:38:22,4189,4198,4199,4183,0,0,0,0,0,0,0,0,0,1,100,43,46,,OFF,
20999,2022-08-29 13:08:22,4189,4198,4199,4183,0,0,0,0,0,0,0,0,0,1,100,43,46,,OFF,
21000,2022-08-29 13:38:22,4189,4198,4199,4182,0,0,0,0,0,0,0,0,0,1,100,43,46,,OFF,
21001,2022-08-29 14:08:22,4188,4198,4199,4182,0,0,0,0,0,0,0,0,0,1,100,43,46,,OFF,
21002,2022-08-29 14:38:22,4188,4197,4199,4182,0,0,0,0,0,0,0,0,0,1,100,43,46,,OFF,
21003,2022-08-29 15:08:22,4188,4197,4198,4182,0,0,0,0,0,0,0,0,0,1,100,43,46,,OFF,
21004,2022-08-29 15:38:22,4188,4197,4198,4182,0,0,0,0,0,0,0,0,0,1,100,43,46,,OFF,
21005,2022-08-29 16:08:22,4188,4197,4198,4182,0,0,0,0,0,0,0,0,0,1,100,43,46,,OFF,
21006,2022-08-29 16:38:22,4188,4197,4198,4182,0,0,0,0,0,0,0,0,0,1,100,42,46,,OFF,
21007,2022-08-29 17:08:22,4187,4197,4198,4181,0,0,0,0,0,0,0,0,0,1,100,42,46,,OFF,
21008,2022-08-29 17:38:22,4187,4197,4198,4181,0,0,0,0,0,0,0,0,0,1,100,42,46,,OFF,
21009,2022-08-29 18:08:22,4187,4196,4197,4181,0,0,0,0,0,0,0,0,0,1,100,42,46,,OFF,
21010,2022-08-29 18:38:22,4187,4196,4197,4181,0,0,0,0,0,0,0,0,0,1,100,43,46,,OFF,
21011,2022-08-29 19:08:22,4187,4196,4197,4181,0,0,0,0,0,0,0,0,0,1,100,43,46,,OFF,
21012,2022-08-29 19:38:22,4187,4196,4197,4181,0,0,0,0,0,0,0,0,0,1,100,44,46,,OFF,
21013,2022-08-29 20:08:22,4187,4196,4197,4181,0,0,0,0,0,0,0,0,0,1,100,45,46,,OFF,
21014,2022-08-29 20:38:22,4187,4196,4197,4181,0,0,0,0,0,0,0,0,0,1,100,46,46,,OFF,
21015,2022-08-29 21:08:22,4187,4196,4197,4181,0,0,0,0,0,0,0,0,0,1,100,46,46,,OFF,
21016,2022-08-29 21:38:22,4186,4196,4197,4180,0,0,0,0,0,0,0,0,0,1,100,46,46,,OFF,
21017,2022-08-29 22:08:22,4186,4195,4196,4180,0,0,0,0,0,0,0,0,0,1,100,46,46,,OFF,
21018,2022-08-29 22:38:22,4186,4195,4196,4180,0,0,0,0,0,0,0,0,0,1,100,46,46,,OFF,
21019,2022-08-29 23:08:22,4186,4195,4196,4180,0,0,0,0,0,0,0,0,0,1,100,46,46,,OFF,
21020,2022-08-29 23:38:22,4186,4195,4196,4180,0,0,0,0,0,0,0,0,0,1,100,46,46,,OFF,
21021,2022-08-30 00:08:22,4186,4195,4196,4180,0,0,0,0,0,0,0,0,0,1,100,46,46,,OFF,
21022,2022-08-30 00:38:22,4185,4194,4196,4180,0,0,0,0,0,0,0,0,0,1,100,45,46,,OFF,
21023,2022-08-30 01:08:22,4185,4194,4195,4179,0,0,0,0,0,0,0,0,0,1,100,45,46,,OFF,
21024,2022-08-30 01:38:22,4185,4194,4195,4179,0,0,0,0,0,0,0,0,0,1,100,45,46,,OFF,
21025,2022-08-30 02:08:22,4185,4194,4195,4179,0,0,0,0,0,0,0,0,0,1,100,45,46,,OFF,
21026,2022-08-30 02:38:22,4185,4194,4195,4179,0,0,0,0,0,0,0,0,0,1,100,45,46,,OFF,
21027,2022-08-30 03:08:22,4185,4194,4195,4179,0,0,0,0,0,0,0,0,0,1,100,44,46,,OFF,
21028,2022-08-30 03:38:22,4184,4194,4194,4178,0,0,0,0,0,0,0,0,0,1,100,44,46,,OFF,
21029,2022-08-30 04:08:22,4184,4193,4194,4178,0,0,0,0,0,0,0,0,0,1,100,44,46,,OFF,
21030,2022-08-30 04:38:22,4184,4193,4194,4178,0,0,0,0,0,0,0,0,0,1,100,44,46,,OFF,
21031,2022-08-30 05:08:22,4184,4193,4194,4178,0,0,0,0,0,0,0,0,0,1,100,44,46,,OFF,
21032,2022-08-30 05:38:22,4184,4193,4194,4178,0,0,0,0,0,0,0,0,0,1,100,44,46,,OFF,
21033,2022-08-30 06:08:22,4184,4193,4194,4178,0,0,0,0,0,0,0,0,0,1,100,44,46,,OFF,
