No.,time,VOL1(mV),VOL2(mV),VOL3(mV),VOL4(mV),VOL5(mV),VOL6(mV),VOL7(mV),VOL8(mV),VOL9(mV),VOL10(mV),VOL11(mV),VOL12(mV),Current(mA),Temperature,Temp_in,Temp_ex1,Temp_ex2,Balance,Status
21204,2022-08-31 00:19:21,4210,4220,4222,4203,0,0,0,0,0,0,0,0,0,1,100,45,46,,OFF,
21205,2022-08-31 00:49:21,4208,4219,4220,4201,0,0,0,0,0,0,0,0,0,1,100,45,46,,OFF,
21206,2022-08-31 01:19:21,4207,4218,4219,4200,0,0,0,0,0,0,0,0,0,1,100,44,46,,OFF,
21207,2022-08-31 01:49:21,4206,4217,4218,4200,0,0,0,0,0,0,0,0,0,1,100,44,46,,OFF,
21208,2022-08-31 02:19:21,4206,4216,4218,4199,0,0,0,0,0,0,0,0,0,1,100,44,46,,OFF,
21209,2022-08-31 02:49:21,4206,4216,4217,4199,0,0,0,0,0,0,0,0,0,1,100,44,46,,OFF,
21210,2022-08-31 03:19:21,4205,4216,4217,4198,0,0,0,0,0,0,0,0,0,1,100,44,46,,OFF,
21211,2022-08-31 03:49:21,4205,4215,4217,4198,0,0,0,0,0,0,0,0,0,1,100,44,46,,OFF,
21212,2022-08-31 04:19:21,4205,4215,4216,4198,0,0,0,0,0,0,0,0,0,1,100,44,46,,OFF,
21213,2022-08-31 04:49:21,4204,4215,4216,4198,0,0,0,0,0,0,0,0,0,1,100,44,46,,OFF,
21214,2022-08-31 05:19:21,4204,4214,4216,4197,0,0,0,0,0,0,0,0,0,1,100,44,46,,OFF,
21215,2022-08-31 05:49:21,4204,4214,4216,4197,0,0,0,0,0,0,0,0,0,1,100,44,46,,OFF,
21216,2022-08-31 06:19:21,4204,4214,4215,4197,0,0,0,0,0,0,0,0,0,1,100,44,46,,OFF,
21217,2022-08-31 06:49:21,4203,4214,4215,4197,0,0,0,0,0,0,0,0,0,1,100,44,46,,OFF,
21218,2022-08-31 07:19:21,4203,4213,4215,4196,0,0,0,0,0,0,0,0,0,1,100,44,46,,OFF,
21219,2022-08-31 07:49:21,4203,4213,4215,4196,0,0,0,0,0,0,0,0,0,1,100,44,46,,OFF,
21220,2022-08-31 08:19:21,4203,4213,4214,4196,0,0,0,0,0,0,0,0,0,1,100,43,46,,OFF,
21221,2022-08-31 08:49:21,4203,4213,4214,4196,0,0,0,0,0,0,0,0,0,1,100,43,46,,OFF,
21222,2022-08-31 09:13:28,4202,4212,4214,4195,0,0,0,0,0,0,0,0,0,1,100,45,48,,ON,
21223,2022-08-31 09:14:38,4202,4212,4213,4195,0,0,0,0,0,0,0,0,0,1,100,26,30,,Idle,
21224,2022-08-31 09:15:48,4201,4212,4213,4195,0,0,0,0,0,0,0,0,0,1,100,25,30,,Idle,
21225,2022-08-31 09:16:58,4214,4224,4226,4207,0,0,0,0,0,0,0,0,700,1,100,25,30,,Idle,
21226,2022-08-31 09:18:08,4217,4228,4229,4210,0,0,0,0,0,0,0,0,0,1,100,25,30,,Idle,
21227,2022-08-31 09:19:18,4219,4230,4231,4212,0,0,0,0,0,0,0,0,0,1,100,25,30,,Idle,
21228,2022-08-31 09:20:28,4220,4232,4233,4213,0,0,0,0,0,0,0,0,0,1,100,25,30,,Idle,
21229,2022-08-31 09:21:38,4221,4233,4234,4214,0,0,0,0,0,0,0,0,0,1,100,25,30,,Idle,
21230,2022-08-31 09:22:48,4221,4233,4235,4215,0,0,0,0,0,0,0,0,0,1,100,25,30,,Idle,
21231,2022-08-31 09:23:58,4221,4233,4236,4216,0,0,0,0,0,0,0,0,0,1,100,25,30,,Idle,
21232,2022-08-31 09:25:08,4222,4234,4237,4216,0,0,0,0,0,0,0,0,0,1,100,25,30,,Idle,
21233,2022-08-31 09:26:18,4224,4234,4236,4215,0,0,0,0,0,0,0,0,0,1,100,25,30,,Idle,
21234,2022-08-31 09:27:28,4223,4234,4236,4215,0,0,0,0,0,0,0,0,0,1,100,25,30,,Idle,
21235,2022-08-31 09:28:38,4224,4235,4236,4216,0,0,0,0,0,0,0,0,0,1,100,25,30,,Idle,
21236,2022-08-31 09:29:48,4225,4235,4237,4216,0,0,0,0,0,0,0,0,0,1,100,25,30,,Idle,
21237,2022-08-31 09:30:58,4223,4236,4238,4217,0,0,0,0,0,0,0,0,0,1,100,25,30,,Idle,
21238,2022-08-31 10:00:58,4221,4233,4234,4214,0,0,0,0,0,0,0,0,0,1,100,43,46,,OFF,
21239,2022-08-31 10:30:58,4221,4232,4233,4213,0,0,0,0,0,0,0,0,0,1,100,44,46,,OFF,
21240,2022-08-31 11:00:58,4220,4231,4233,4213,0,0,0,0,0,0,0,0,0,1,100,44,46,,OFF,
21241,2022-08-31 11:30:58,4220,4231,4233,4212,0,0,0,0,0,0,0,0,0,1,100,45,46,,OFF,
21242,2022-08-31 11:36:14,4223,4234,4236,4215,0,0,0,0,0,0,0,0,0,1,100,46,47,,ON,
21243,2022-08-31 12:06:18,4219,4231,4232,4212,0,0,0,0,0,0,0,0,0,1,100,45,46,,OFF,
21244,2022-08-31 12:36:18,4219,4230,4232,4212,0,0,0,0,0,0,0,0,0,1,100,46,46,,OFF,
21245,2022-08-31 13:26:05,4218,4230,4231,4211,0,0,0,0,0,0,0,0,0,1,100,46,46,,OFF,
21246,2022-08-31 13:56:05,4218,4229,4231,4211,0,0,0,0,0,0,0,0,0,1,100,47,46,,OFF,
21247,2022-08-31 14:08:18,4217,4228,4229,4209,0,0,0,0,0,0,0,0,0,1,100,51,50,,ON,
21248,2022-08-31 14:09:27,4213,4224,4226,4206,0,0,0,0,0,0,0,0,0,1,100,35,30,,Idle,
21249,2022-08-31 14:10:36,4211,4222,4224,4204,0,0,0,0,0,0,0,0,0,1,100,35,30,,Idle,
21250,2022-08-31 14:11:45,3979,3990,3985,3983,0,0,0,0,0,0,0,0,-16400,1,97,36,30,,Dischange,
21251,2022-08-31 14:12:20,4022,4024,4024,4020,0,0,0,0,0,0,0,0,-15400,1,97,36,30,,Dischange,
21252,2022-08-31 14:12:54,3946,3957,3960,3959,0,0,0,0,0,0,0,0,-17500,1,95,37,30,,Dischange,
21253,2022-08-31 14:13:29,3985,3983,3982,3986,0,0,0,0,0,0,0,0,-14600,1,94,37,30,,Dischange,
21254,2022-08-31 14:14:03,4056,4060,4061,4057,0,0,0,0,0,0,0,0,0,1,93,37,30,,Idle,
21255,2022-08-31 14:15:12,4027,4031,4032,4029,0,0,0,0,0,0,0,0,0,1,90,38,30,,Idle,
21256,2022-08-31 14:16:21,4024,4027,4029,4025,0,0,0,0,0,0,0,0,-500,1,88,38,30,,Idle,
21257,2022-08-31 14:17:30,3911,3916,3920,3918,0,0,0,0,0,0,0,0,-16400,1,86,39,30,,Dischange,
21258,2022-08-31 14:18:04,3928,3929,3930,3933,0,0,0,0,0,0,0,0,-9300,1,85,39,30,,Dischange,
21259,2022-08-31 14:18:39,3877,3879,3881,3879,0,0,0,0,0,0,0,0,-18200,1,83,40,30,,Dischange,
21260,2022-08-31 14:19:13,3938,3939,3944,3944,0,0,0,0,0,0,0,0,-16500,1,83,40,30,,Dischange,
21261,2022-08-31 14:19:48,3967,3971,3973,3966,0,0,0,0,0,0,0,0,-3200,1,81,40,30,,Dischange,
21262,2022-08-31 14:20:22,3875,3876,3875,3868,0,0,0,0,0,0,0,0,-17100,1,80,41,30,,Dischange,
21263,2022-08-31 14:20:57,3954,3959,3960,3952,0,0,0,0,0,0,0,0,0,1,79,41,30,,Idle,
21264,2022-08-31 14:22:05,3929,3935,3936,3927,0,0,0,0,0,0,0,0,0,1,76,41,30,,Idle,
21265,2022-08-31 14:23:14,3966,3970,3971,3963,0,0,0,0,0,0,0,0,0,1,76,41,30,,Idle,
21266,2022-08-31 14:24:23,3970,3974,3975,3967,0,0,0,0,0,0,0,0,0,1,76,42,30,,Idle,
21267,2022-08-31 14:25:32,3792,3801,3804,3798,0,0,0,0,0,0,0,0,-18200,1,74,42,30,,Dischange,
21268,2022-08-31 14:26:07,3829,3833,3837,3830,0,0,0,0,0,0,0,0,-20900,1,73,42,30,,Dischange,
21269,2022-08-31 14:26:41,3794,3798,3802,3793,0,0,0,0,0,0,0,0,-15700,1,71,42,30,,Dischange,
21270,2022-08-31 14:27:16,3741,3753,3740,3742,0,0,0,0,0,0,0,0,-22100,1,71,43,30,,Dischange,
21271,2022-08-31 14:27:50,3746,3753,3756,3748,0,0,0,0,0,0,0,0,-17800,1,69,43,30,,Dischange,
21272,2022-08-31 14:28:25,3763,3767,3769,3760,0,0,0,0,0,0,0,0,-18000,1,68,43,30,,Dischange,
