No.,time,VOL1(mV),VOL2(mV),VOL3(mV),VOL4(mV),VOL5(mV),VOL6(mV),VOL7(mV),VOL8(mV),VOL9(mV),VOL10(mV),VOL11(mV),VOL12(mV),Current(mA),Temperature,Temp_in,Temp_ex1,Temp_ex2,Balance,Status
10517,2022-08-29 00:09:18,4206,4220,4200,4206,0,0,0,0,0,0,0,0,0,1,100,43,48,,OFF,
10518,2022-08-29 00:39:18,4206,4220,4200,4206,0,0,0,0,0,0,0,0,0,1,100,44,48,,OFF,
10519,2022-08-29 01:09:18,4205,4219,4199,4206,0,0,0,0,0,0,0,0,0,1,100,44,48,,OFF,
10520,2022-08-29 01:39:18,4205,4219,4199,4205,0,0,0,0,0,0,0,0,0,1,100,44,48,,OFF,
10521,2022-08-29 02:09:18,4205,4219,4199,4205,0,0,0,0,0,0,0,0,0,1,100,44,48,,OFF,
10522,2022-08-29 02:39:18,4205,4219,4199,4205,0,0,0,0,0,0,0,0,0,1,100,44,48,,OFF,
10523,2022-08-29 03:09:18,4205,4219,4198,4205,0,0,0,0,0,0,0,0,0,1,100,44,48,,OFF,
10524,2022-08-29 03:39:18,4204,4218,4198,4205,0,0,0,0,0,0,0,0,0,1,100,44,48,,OFF,
10525,2022-08-29 04:09:18,4204,4218,4198,4204,0,0,0,0,0,0,0,0,0,1,100,44,48,,OFF,
10526,2022-08-29 04:39:18,4204,4218,4198,4204,0,0,0,0,0,0,0,0,0,1,100,44,48,,OFF,
10527,2022-08-29 05:09:18,4204,4218,4198,4204,0,0,0,0,0,0,0,0,0,1,100,44,48,,OFF,
10528,2022-08-29 05:39:18,4203,4217,4198,4204,0,0,0,0,0,0,0,0,0,1,100,44,48,,OFF,
10529,2022-08-29 06:09:18,4203,4217,4197,4203,0,0,0,0,0,0,0,0,0,1,100,44,48,,OFF,
10530,2022-08-29 06:39:18,4203,4217,4197,4203,0,0,0,0,0,0,0,0,0,1,100,44,48,,OFF,
10531,2022-08-29 07:09:18,4203,4217,4197,4203,0,0,0,0,0,0,0,0,0,1,100,44,48,,OFF,
10532,2022-08-29 07:39:18,4203,4216,4197,4203,0,0,0,0,0,0,0,0,0,1,100,44,48,,OFF,
10533,2022-08-29 08:09:18,4202,4216,4196,4203,0,0,0,0,0,0,0,0,0,1,100,44,48,,OFF,
