pond_id,lat_ul,lon_ul,lat_ur,lon_ur,lat_ll,lon_ll,lat_lr,lon_lr
1,37.634449,-89.171873,37.634443,-89.171734,37.634342,-89.171878,37.634342,-89.171731
2,37.634652,-89.171887,37.634654,-89.171727,37.634543,-89.171876,37.634542,-89.171718
3,37.634445,-89.172115,37.634446,-89.171991,37.634348,-89.172119,37.634347,-89.17199
4,37.634646,-89.172103,37.63465,-89.171998,37.634559,-89.172098,37.634555,-89.171993
5,37.634448,-89.172388,37.634455,-89.172239,37.634338,-89.172381,37.634346,-89.172237
6,37.624646,-89.172386,37.634663,-89.172252,37.634549,-89.172364,37.634558,-89.172228
7,37.634437,-89.172628,37.63445,-89.172502,37.634339,-89.172617,37.634342,-89.172498
8,37.634654,-89.172637,37.634663,-89.172504,37.634544,-89.17263,37.634545,-89.172488
9,37.634442,-89.172916,37.634451,-89.172781,37.634342,-89.172905,37.634342,-89.172783
10,37.634649,-89.172923,37.63466,-89.172779,37.634553,-89.172905,37.634553,-89.172774
11,37.634448,-89.173258,37.634451,-89.173022,37.634255,-89.173252,37.634261,-89.173018
12,37.634716,-89.173236,37.634712,-89.173049,37.634549,-89.17323,37.634548,-89.17303
13,37.634436,-89.173631,37.634453,-89.173387,37.634352,-89.173628,37.634339,-89.173394
14,37.634641,-89.173647,37.634856,-89.173387,37.634747,-89.173641,37.634748,-89.173371
15,37.634839,-89.173647,37.634856,-89.173387,37.634747,-89.173641,37.634748,-89.173371
16,37.634447,-89.17405,37.634461,-89.17378,37.63435,-89.174045,37.634346,-89.173788
17,37.63465,-89.174041,37.634641,-89.173786,37.634546,-89.174042,37.634539,-89.173782
18,37.634846,-89.174043,37.634858,-89.173772,37.63475,-89.174046,37.634736,-89.173774
19,37.633849,-89.174488,37.633862,-89.174205,37.633759,-89.174476,37.633751,-89.174203
20,37.634041,-89.174467,37.634054,-89.174202,37.633958,-89.174465,37.633947,-89.174197
21,37.63424,-89.174484,37.634256,-89.174205,37.63416,-89.174486,37.63414,-89.174208
22,37.63444,-89.174479,37.63445,-89.17422,37.634358,-89.174487,37.634351,-89.174218
23,37.634649,-89.174482,37.634659,-89.174209,37.634558,-89.174473,37.644548,-89.1742
24,37.634849,-89.174484,37.634855,-89.17422,37.634746,-89.174465,37.634744,-89.174222
25,37.635036,-89.174476,37.635047,-89.174217,37.63494,-89.174468,37.634936,-89.174211
26,37.63523,-89.174476,37.635253,-89.174219,37.635145,-89.174479,37.635135,-89.17427
27,37.633844,-89.174897,37.633857,-89.174625,37.63375,-89.174879,37.633745,-89.174629
28,37.634048,-89.174896,37.634056,-89.17463,37.633961,-89.174892,37.633947,-89.174619
29,37.634242,-89.174892,37.634257,-89.174631,37.634149,-89.174899,37.634154,-89.174631
30,37.634446,-89.174901,37.634455,-89.174628,37.634355,-89.1749,37.634343,-89.174631
31,37.634642,-89.174892,37.634638,-89.174634,37.634554,-89.174892,37.634541,-89.174629
32,37.634837,-89.17488,37.634845,-89.174625,37.634745,-89.174877,37.634736,-89.174627
33,37.635031,-89.174889,37.635042,-89.174639,37.634946,-89.174883,37.634946,-89.174638
34,37.63524,-89.174892,37.635245,-89.17463,37.635149,-89.174872,37.635147,-89.174619
35,37.63386,-89.175335,37.633865,-89.175051,37.633749,-89.175327,37.633754,-89.175054
36,37.634054,-89.175342,37.634064,-89.175055,37.633947,-89.175338,37.633948,-89.175069
37,37.634252,-89.175341,37.634244,-89.175046,37.634157,-89.175347,37.634142,-89.175036
38,37.634445,-89.175305,37.634452,-89.175066,37.634354,-89.175313,37.634349,-89.175058
39,37.634637,-89.175295,37.634644,-89.175064,37.634555,-89.175293,37.634545,-89.175061
40,37.634834,-89.175314,37.634842,-89.175061,37.634749,-89.175278,37.634742,-89.175053
41,37.635046,-89.175346,37.635056,-89.175061,37.634917,-89.175346,37.634921,-89.175056
42,37.635247,-89.175323,37.635247,-89.175061,37.635153,-89.175307,37.635146,-89.175061
43,37.634458,-89.175762,37.634454,-89.17546,37.634339,-89.175766,37.634332,-89.175462
44,37.634645,-89.175729,37.634651,-89.175467,37.634548,-89.175719,37.634542,-89.175464
45,37.634843,-89.175741,37.634851,-89.175474,37.634748,-89.175735,37.634744,-89.175475
46,37.635032,-89.175719,37.635045,-89.175489,37.634939,-89.175711,37.634929,-89.175469
47,37.635234,-89.175733,37.635240,-89.175482,37.635141,-89.175719,37.635132,-89.175477
48,37.635415,-89.175715,37.635416,-89.175493,37.635350,-89.175704,37.635355,-89.175491
49,37.635615,-89.175727,37.635624,-89.175527,37.635545,-89.175725,37.635545,-89.175498
50,37.635822,-89.175738,37.635835,-89.175466,37.635728,-89.175718,37.635724,-89.175473
51,37.636019,-89.175737,37.636037,-89.175473,37.635920,-89.175731,37.635916,-89.175475
